neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Justiniškės,102000,1332,4,76,8,8,2021,brick,central thermostat,partial decoration
Šnipiškės,66500,2402,1,27,4,4,2021,brick,central thermostat,partial decoration
Pašilaičiai,93500,1396,3,67,5,5,1991,block house,central,fully equipped
Justiniškės,84000,1254,3,67,7,7,2021,brick,central thermostat,partial decoration
Jeruzalė,115000,1452,2,79,1,1,1993,brick,central,fully equipped
Naujininkai,54600,2337,1,23,1,1,2021,brick,central thermostat,partial decoration
Naujininkai,68400,2138,2,32,2,2,2021,brick,central thermostat,partial decoration
Jeruzalė,92900,1327,3,70,1,1,1967,brick,central,fully equipped
Baltupiai,69900,3073,1,22,2,2,2018,brick,central thermostat,fully equipped
Lazdynėliai,115000,1793,2,64,6,6,2007,brick,central,fully equipped
Antakalnis,99999,2000,2,50,4,4,2020,brick,gas,partial decoration
Karoliniškės,76900,1230,3,62,12,12,1975,block house,central,fully equipped
Grigiškės,150000,1563,3,96,3,3,2008,brick,gas,fully equipped
Justiniškės,85000,1726,2,49,5,5,1983,block house,central,fully equipped
Vilkpėdė,78000,653,3,119,2,2,1963,brick,gas,partial decoration
Naujamiestis,182500,4148,2,44,3,3,1870,brick,central,fully equipped
Senamiestis,182500,4148,2,44,3,3,1870,brick,central,fully equipped
Senamiestis,275000,4911,2,56,2,2,2007,brick,central thermostat,fully equipped
Karoliniškės,80000,1924,2,41,3,3,2021,brick,central thermostat,partial decoration
Senamiestis,85000,3036,1,28,1,1,1920,brick,solid fuel,fully equipped
Karoliniškės,122000,1842,3,66,1,1,2021,brick,central thermostat,partial decoration
Naujininkai,54000,1727,1,31,3,3,1992,brick,central,fully equipped
Pilaitė,87000,1243,3,70,4,4,1994,block house,central,fully equipped
Užupis,217000,3195,3,67,1,1,2019,brick,central thermostat,partial decoration
Senamiestis,46500,2580,1,18,2,2,1959,brick,central,partial decoration
Žvėrynas,46500,2583,1,18,2,2,1986,brick,central,partial decoration
Šnipiškės,46500,2570,1,18,1,1,1972,brick,central,partial decoration
Šiaurės miestelis,46500,2689,1,17,5,5,1978,brick,central,partial decoration
Fabijoniškės,93000,1571,2,59,9,9,2006,brick,central thermostat,fully equipped
Karoliniškės,75000,1515,2,49,3,3,1973,block house,central,fully equipped
Šnipiškės,65000,2241,1,29,3,3,1975,brick,central,fully equipped
Naujamiestis,120000,3511,2,34,1,1,1918,brick,central,fully equipped
Senamiestis,120000,3511,2,34,1,1,1918,brick,central,fully equipped
Žemieji Paneriai,17000,838,1,20,1,1,1970,brick,NaN,NaN
Senamiestis,209000,4180,2,50,3,3,1989,brick,central,fully equipped
Senamiestis,215000,3583,2,60,4,4,2019,brick,central thermostat,partial decoration
Senamiestis,459000,4781,4,96,1,1,2009,brick,electric,fully equipped
Senamiestis,449000,4677,4,96,1,1,2009,block house,central,fully equipped
Užupis,350000,3153,4,111,1,1,1940,brick,gas,fully equipped
Žvėrynas,160000,2150,3,74,2,2,2006,brick,gas,fully equipped
Burbiškės,234000,3001,4,77,4,4,2021,brick,gas,fully equipped
Naujamiestis,155000,2974,3,52,4,4,2021,brick,gas,fully equipped
Užupis,91000,2476,1,36,2,2,2018,block house,central,partial decoration
Markučiai,133000,2771,2,48,1,1,2018,block house,central thermostat,fully equipped
Karoliniškės,84000,1221,3,68,6,6,1974,block house,central,fully equipped
Žirmūnai,140000,1359,6,103,1,1,1956,wooden house,gas,fully equipped
Naujamiestis,66877,1592,2,42,3,3,1962,brick,central,fully equipped
Pašilaičiai,83000,1588,2,52,6,6,2009,brick,central thermostat,fully equipped
Naujoji Vilnia,37500,987,2,38,3,3,1981,block house,electric,partial decoration
Naujoji Vilnia,26000,1398,1,18,2,2,1979,brick,electric,fully equipped
Naujoji Vilnia,39000,1393,2,28,2,2,1979,brick,electric,fully equipped
Naujoji Vilnia,44999,1452,2,31,2,2,1979,brick,electric,fully equipped
Naujoji Vilnia,22999,1533,1,15,2,2,1979,brick,electric,fully equipped
Žvėrynas,227542,2933,4,77,3,3,2021,brick,geothermal,partial decoration
Naujamiestis,436970,3550,4,123,2,2,2021,brick,geothermal,partial decoration
Senamiestis,436970,3550,4,123,2,2,2021,brick,geothermal,partial decoration
Naujoji Vilnia,16000,1043,1,15,5,5,1984,brick,central,fully equipped
Senamiestis,269000,3363,3,80,2,2,2008,brick,central thermostat,fully equipped
Žirmūnai,95000,2021,2,47,3,3,1970,block house,central,fully equipped
Pašilaičiai,79000,1612,2,49,2,2,2020,brick,central thermostat,fully equipped
Senamiestis,165000,2750,2,60,1,1,2020,brick,central thermostat,fully equipped
Senamiestis,165000,2797,2,59,1,1,1900,brick,gas,fully equipped
Justiniškės,72500,1169,3,62,1,1,1985,block house,central,fully equipped
Senamiestis,98000,2800,2,35,3,3,1940,brick,central,fully equipped
Naujamiestis,245000,2627,3,93,3,3,1940,brick,central,fully equipped
Senamiestis,119000,3306,2,36,5,5,2014,brick,central thermostat,fully equipped
Senamiestis,724460,5488,4,132,3,3,2020,brick,central thermostat,partial decoration
Naujininkai,120000,2200,3,54,5,5,1963,brick,central,fully equipped
Pilaitė,135000,1658,3,81,2,2,2006,brick,central thermostat,fully equipped
Senamiestis,155000,3413,2,45,2,2,1940,brick,central,fully equipped
Naujamiestis,155000,3413,2,45,2,2,1940,brick,central,fully equipped
Pilaitė,92000,2451,2,37,1,1,2020,brick,central thermostat,fully equipped
Žirmūnai,139000,2003,3,69,7,7,2005,brick,central thermostat,fully equipped
Senamiestis,545423,4101,4,133,1,1,2019,brick,central thermostat,partial decoration
Naujamiestis,97500,2074,2,47,5,5,2020,brick,central thermostat,partial decoration
Naujamiestis,299900,3149,4,95,5,5,2022,brick,central thermostat,partial decoration
Naujamiestis,242900,3085,3,78,5,5,2022,brick,central thermostat,partial decoration
Šeškinė,120000,2372,2,50,5,5,2021,brick,central thermostat,partial decoration
Šeškinė,90000,1935,2,46,1,1,2021,brick,central thermostat,partial decoration
Karoliniškės,62500,1273,2,49,1,1,1974,block house,central,fully equipped
Viršuliškės,95200,1400,3,68,7,7,1978,block house,central,fully equipped
Lazdynai,73500,1564,2,46,1,1,1969,block house,central,fully equipped
Naujininkai,49900,1188,2,42,1,1,1977,brick,central,fully equipped
Senamiestis,550000,2973,6,185,3,3,1940,brick,central,fully equipped
Lazdynėliai,76700,2063,2,37,4,4,2021,brick,central thermostat,partial decoration
Balsiai,131000,1056,4,124,2,2,2020,brick,aerothermal,partial decoration
Balsiai,119000,1112,4,107,2,2,2020,brick,aerothermal,partial decoration
Pilaitė,129900,1584,3,82,2,2,2007,brick,central thermostat,fully equipped
Jeruzalė,52900,1763,1,30,1,1,2004,brick,electric,fully equipped
Jeruzalė,52900,1763,1,30,1,1,2004,brick,electric,fully equipped
Jeruzalė,52900,1763,1,30,1,1,2004,brick,electric,fully equipped
Justiniškės,89000,1348,3,66,7,7,2021,brick,central thermostat,partial decoration
Pašilaičiai,79000,1491,2,53,4,4,2020,brick,central thermostat,fully equipped
Viršuliškės,61000,1531,2,39,4,4,2020,block house,aerothermal,partial decoration
Pilaitė,75000,1071,3,70,1,1,1994,block house,central,not equipped
Karoliniškės,85000,1771,2,48,5,5,1972,block house,central thermostat,fully equipped
Naujininkai,135500,2346,3,57,2,2,2020,NaN,central thermostat,NaN
Pašilaičiai,93990,1712,3,54,2,2,2021,NaN,central thermostat,NaN
Senamiestis,563000,2149,7,262,1,1,1990,brick,electric,fully equipped
Verkiai,90600,1952,3,46,1,1,2021,block house,central thermostat,partial decoration
Naujoji Vilnia,35750,1083,1,33,1,1,1970,brick,NaN,NaN
Karoliniškės,105000,1809,3,58,3,3,2022,brick,central thermostat,partial decoration
Viršuliškės,105000,1809,3,58,3,3,2022,brick,central thermostat,partial decoration
Viršuliškės,87300,1850,2,47,3,3,2022,brick,central thermostat,partial decoration
Viršuliškės,87300,1850,2,47,3,3,2022,brick,central thermostat,partial decoration
Viršuliškės,85700,1829,2,46,3,3,2022,brick,central thermostat,partial decoration
Karoliniškės,85700,1829,2,46,3,3,2022,brick,central thermostat,partial decoration
Karoliniškės,102400,1810,3,56,3,3,2022,brick,central thermostat,partial decoration
Viršuliškės,102400,1810,3,56,3,3,2022,brick,central thermostat,partial decoration
Pašilaičiai,74000,2064,2,35,3,3,2008,brick,central thermostat,fully equipped
Žvėrynas,105851,2550,2,41,2,2,1940,brick,gas,fully equipped
Senamiestis,74400,1764,2,42,2,2,1940,brick,solid fuel,not equipped
Šeškinė,192900,3290,3,58,5,5,2019,NaN,central,NaN
Žemieji Paneriai,65000,1465,2,44,6,6,1984,brick,electric,partial decoration
Justiniškės,89000,1935,2,46,5,5,2020,brick,central thermostat,fully equipped
Justiniškės,90000,1957,2,46,5,5,2021,brick,central thermostat,fully equipped
Senamiestis,250000,3283,5,76,2,2,1940,brick,electric,fully equipped
Žvėrynas,154422,2933,2,52,4,4,2021,brick,geothermal,partial decoration
Paneriai,56000,1156,2,48,2,2,1978,brick,central,fully equipped
Aukštieji Paneriai,56000,1156,2,48,2,2,1978,brick,central,fully equipped
Lazdynėliai,125000,1374,4,91,3,3,1994,brick,central,fully equipped
Lazdynai,125000,1374,4,91,3,3,1994,brick,central,fully equipped
Pašilaičiai,105000,1862,2,56,2,2,2009,brick,central thermostat,fully equipped
Senamiestis,87000,2987,1,29,2,2,1940,brick,aerothermal,partial decoration
Šnipiškės,108000,3484,2,31,1,1,2019,brick,central thermostat,fully equipped
Senamiestis,72000,2956,1,24,2,2,1940,brick,aerothermal,partial decoration
Senamiestis,519246,3889,5,133,2,2,2019,brick,central thermostat,partial decoration
Markučiai,189000,3555,2,53,5,5,2014,brick,central thermostat,fully equipped
Naujamiestis,131000,1986,3,65,4,4,2020,brick,central thermostat,partial decoration
Naujamiestis,97500,2210,2,44,1,1,2020,brick,central thermostat,partial decoration
Naujamiestis,175500,1952,4,89,3,3,2020,brick,central thermostat,partial decoration
Naujamiestis,175500,1950,4,90,3,3,2020,brick,central thermostat,partial decoration
Naujamiestis,108600,2311,2,47,2,2,2020,brick,central thermostat,fully equipped
Senamiestis,61000,3008,1,20,2,2,1940,brick,aerothermal,partial decoration
Lazdynėliai,42700,1363,2,31,1,1,1995,brick,NaN,NaN
Pilaitė,120900,1888,3,64,6,6,2012,brick,central thermostat,fully equipped
Senamiestis,390000,4426,3,88,5,5,2009,brick,central thermostat,fully equipped
Šnipiškės,103000,1615,3,63,5,5,1976,block house,central,fully equipped
Žirmūnai,103000,1615,3,63,5,5,1976,block house,central,fully equipped
Žvėrynas,499000,3590,5,139,4,4,2009,brick,central thermostat,fully equipped
Senamiestis,385000,2939,4,131,1,1,1940,brick,central,fully equipped
Senamiestis,149000,2637,2,56,0,0,1940,brick,gas,fully equipped
Žirmūnai,49900,459,4,108,1,1,1981,brick,NaN,NaN
Markučiai,27000,1519,1,17,2,2,1987,brick,central,fully equipped
Pilaitė,135000,2083,3,64,1,1,2020,brick,gas,partial decoration
Šeškinė,108000,2308,2,46,4,4,2020,brick,central thermostat,partial decoration
Žirmūnai,142250,2103,3,67,4,4,2021,brick,central thermostat,partial decoration
Pašilaičiai,93000,1553,3,59,11,11,2009,block house,central thermostat,fully equipped
Šeškinė,104000,2223,2,46,3,3,2020,brick,central thermostat,partial decoration
Naujoji Vilnia,42000,1124,2,37,5,5,1980,brick,central,fully equipped
Naujininkai,115200,1800,3,64,2,2,2021,monolithic,electric,partial decoration
Valakampiai,215000,2914,3,73,2,2,2017,brick,central thermostat,fully equipped
Antakalnis,215000,2914,3,73,2,2,2017,brick,gas,fully equipped
Užupis,41000,2733,1,15,3,3,1940,brick,central,fully equipped
Naujamiestis,84600,2222,2,38,2,2,2020,brick,gas,partial decoration
Naujamiestis,81000,2396,2,33,2,2,2020,brick,gas,fully equipped
Naujamiestis,72200,1897,2,38,2,2,2020,brick,gas,partial decoration
Naujamiestis,69500,2056,2,33,2,2,2020,brick,gas,partial decoration
Justiniškės,89000,1673,2,53,2,2,2021,brick,central thermostat,fully equipped
Justiniškės,94900,1784,2,53,2,2,2021,brick,central thermostat,fully equipped
Šnipiškės,122450,1995,3,61,2,2,2022,brick,central thermostat,partial decoration
Užupis,310000,4079,3,76,3,3,2017,brick,central thermostat,fully equipped
Senamiestis,142000,2926,2,48,2,2,1940,brick,central thermostat,partial decoration
Senamiestis,132000,2625,2,50,2,2,1940,brick,central thermostat,partial decoration
Šnipiškės,328707,3695,3,88,16,16,2019,monolithic,central thermostat,partial decoration
Šnipiškės,86000,2549,1,33,4,4,2021,brick,central thermostat,partial decoration
Pilaitė,105000,2002,3,52,4,4,2021,brick,central thermostat,partial decoration
Žvėrynas,330000,1953,4,169,4,4,1993,brick,central thermostat,fully equipped
Senamiestis,705055,6352,4,111,4,4,2020,brick,central thermostat,partial decoration
Markučiai,97534,2358,2,41,2,2,2019,monolithic,central thermostat,fully equipped
Užupis,97534,2358,2,41,2,2,2019,monolithic,central thermostat,fully equipped
Užupis,116907,1900,3,61,4,4,2019,monolithic,central thermostat,partial decoration
Šnipiškės,97000,2208,2,43,1,1,2021,monolithic,central thermostat,partial decoration
Valakampiai,170000,2024,3,84,2,2,1960,brick,gas,fully equipped
Šnipiškės,140000,1987,3,70,4,4,2021,brick,central thermostat,partial decoration
Lazdynai,119000,1661,3,71,1,1,1971,block house,central,fully equipped
Senamiestis,625000,4737,5,131,3,3,2009,brick,central thermostat,fully equipped
Šnipiškės,617110,4634,4,133,24,24,2019,monolithic,central thermostat,partial decoration
Užupis,390000,3602,4,108,2,2,2020,monolithic,central thermostat,partial decoration
Senamiestis,390000,3602,4,108,2,2,2020,monolithic,central thermostat,partial decoration
Antakalnis,109000,1506,4,72,5,5,1966,brick,central,fully equipped
Markučiai,267400,2605,4,102,5,5,2022,brick,central thermostat,partial decoration
Naujamiestis,123000,3844,1,32,5,5,2020,brick,central thermostat,fully equipped
Senamiestis,197000,3283,3,60,3,3,2021,brick,aerothermal,partial decoration
Šeškinė,68000,1302,2,52,8,8,1984,block house,central,fully equipped
Pašilaičiai,109700,2119,3,51,5,5,2022,brick,central thermostat,fully equipped
Pašilaičiai,52600,1637,1,32,2,2,2021,brick,central thermostat,partial decoration
Pašilaičiai,93700,2165,2,43,6,6,2022,brick,central thermostat,fully equipped
Senamiestis,360000,4390,4,82,4,4,2006,brick,central,fully equipped
Naujininkai,45000,1601,1,28,5,5,1971,brick,central,fully equipped
Naujamiestis,241000,2386,7,101,1,1,1982,brick,central,fully equipped
Burbiškės,110000,1930,3,57,2,2,2019,brick,central thermostat,fully equipped
Žvėrynas,200000,2222,3,90,2,2,2000,brick,electric,fully equipped
Senamiestis,450000,3794,4,118,3,3,1940,brick,central,fully equipped
Pašilaičiai,99000,1994,2,49,7,7,2010,block house,central thermostat,fully equipped
Naujininkai,22000,964,1,22,2,2,1940,wooden house,solid fuel,fully equipped
Pašilaičiai,94990,2105,2,45,3,3,2020,brick,central thermostat,fully equipped
Lazdynėliai,215900,1542,4,140,1,1,2019,brick,gas,partial decoration
Lazdynėliai,215900,1531,4,141,1,1,2020,brick,gas,partial decoration
Lazdynėliai,215900,1542,4,140,1,1,2020,brick,gas,partial decoration
Justiniškės,92500,1779,2,52,4,4,1989,monolithic,central,fully equipped
Antakalnis,279000,2937,4,95,7,7,2009,brick,central thermostat,fully equipped
Senamiestis,290000,2522,3,115,3,3,1957,brick,central,fully equipped
Senamiestis,290000,2544,4,114,3,3,1957,brick,central,fully equipped
Lazdynai,68000,1445,2,47,4,4,1969,block house,central,fully equipped
Naujamiestis,107000,2071,2,51,2,2,2020,brick,gas,fully equipped
Naujamiestis,114000,2199,3,51,2,2,2020,brick,gas,fully equipped
Naujamiestis,99000,1909,3,51,2,2,2020,brick,gas,partial decoration
Naujamiestis,184000,1985,3,92,2,2,2020,brick,gas,fully equipped
Naujamiestis,159500,1721,3,92,2,2,2020,brick,gas,partial decoration
Naujamiestis,93000,1800,2,51,2,2,2020,brick,gas,partial decoration
Lazdynai,145000,1761,3,82,5,5,2009,brick,central thermostat,fully equipped
Lazdynėliai,145000,1761,3,82,5,5,2009,brick,central thermostat,fully equipped
Pilaitė,128000,1729,3,74,7,7,2005,brick,central thermostat,fully equipped
Žvėrynas,180000,2093,2,86,2,2,1954,brick,central thermostat,fully equipped
Santariškės,123000,1252,4,98,1,1,2020,brick,gas,partial decoration
Santariškės,123000,1252,4,98,1,1,2020,brick,gas,partial decoration
Didieji Gulbinai,141800,1278,4,110,1,1,2020,brick,gas,partial decoration
Didieji Gulbinai,141800,1278,4,110,1,1,2020,brick,gas,partial decoration
Santariškės,139800,1260,4,110,1,1,2020,brick,gas,partial decoration
Didieji Gulbinai,161700,1185,5,136,1,1,2020,brick,gas,partial decoration
Didieji Gulbinai,158000,1158,5,136,1,1,2020,brick,gas,partial decoration
Didieji Gulbinai,161700,1185,5,136,1,1,2020,brick,gas,partial decoration
Santariškės,166500,1220,5,136,1,1,2020,brick,gas,partial decoration
Fabijoniškės,75000,1492,2,50,9,9,1990,block house,central,fully equipped
Žvėrynas,38900,1554,1,25,5,5,1971,brick,central,fully equipped
Žvėrynas,889513,6949,4,128,3,3,2019,brick,central thermostat,fully equipped
Grigiškės,65000,1182,3,55,1,1,1980,brick,gas,fully equipped
Senamiestis,134749,3510,2,38,3,3,2020,monolithic,central thermostat,partial decoration
Senamiestis,154120,4000,1,38,2,2,2020,monolithic,central thermostat,partial decoration
Senamiestis,506948,5200,3,97,4,4,2020,monolithic,central thermostat,partial decoration
Senamiestis,217560,3500,3,62,3,3,2020,monolithic,central thermostat,partial decoration
Senamiestis,181800,4500,2,40,3,3,2020,monolithic,central thermostat,partial decoration
Lazdynėliai,29000,1053,1,27,1,1,1995,brick,NaN,NaN
Pašilaičiai,74990,2245,2,33,2,2,2021,brick,NaN,NaN
Pašilaičiai,70990,2076,1,34,2,2,2021,brick,NaN,NaN
Pašilaičiai,78990,1936,2,40,2,2,2021,brick,NaN,NaN
Žemieji Paneriai,39423,967,2,40,2,2,2019,NaN,electric,NaN
Senamiestis,315000,4500,3,70,2,2,1940,brick,central,fully equipped
Žirmūnai,128000,2723,2,47,2,2,2006,brick,central thermostat,fully equipped
Aukštieji Paneriai,40000,1377,1,29,5,5,1977,brick,central,fully equipped
Paneriai,40000,1377,1,29,5,5,1977,brick,central,fully equipped
Markučiai,65000,1064,3,61,1,1,1940,log house,solid fuel,fully equipped
Antakalnis,240000,2002,3,119,1,1,2005,brick,gas,fully equipped
Antakalnis,240000,2002,1,119,1,1,2005,brick,gas,fully equipped
Pavilnys,95000,1319,4,72,2,2,2020,brick,gas,partial decoration
Naujamiestis,88000,1397,3,63,4,4,1961,block house,central,fully equipped
Pašilaičiai,101000,1221,3,82,6,6,2021,brick,central thermostat,partial decoration
Naujamiestis,260000,4643,2,56,1,1,2012,brick,central thermostat,fully equipped
Senamiestis,470000,4393,3,107,3,3,2009,brick,central thermostat,fully equipped
Justiniškės,92500,1779,2,52,4,4,1989,monolithic,central,fully equipped
Senamiestis,525000,2500,5,210,3,3,1996,brick,central thermostat,fully equipped
Lazdynai,73000,1141,3,64,9,9,1970,block house,central,fully equipped
Šnipiškės,195000,2097,3,93,4,4,2007,brick,central thermostat,fully equipped
Žvėrynas,159000,2944,2,54,3,3,2007,brick,central thermostat,fully equipped
Pilaitė,95000,1902,2,49,2,2,2020,brick,gas,under construction
Senamiestis,419000,2726,5,153,6,6,1961,brick,electric,fully equipped
Žvėrynas,319000,2900,4,110,1,1,2021,brick,central thermostat,partial decoration
Pilaitė,113400,1277,4,88,1,1,2020,block house,central thermostat,partial decoration
Naujamiestis,140000,2467,3,56,2,2,1940,brick,gas,fully equipped
Senamiestis,630000,4406,4,143,2,2,1940,brick,NaN,NaN
Naujamiestis,77000,2026,1,38,1,1,2008,brick,central thermostat,fully equipped
Pilaitė,119000,1964,2,60,4,4,2014,brick,central thermostat,fully equipped
Senamiestis,266156,4400,2,60,3,3,2020,monolithic,central thermostat,partial decoration
Senamiestis,176350,2500,2,70,2,2,2020,monolithic,central thermostat,partial decoration
Senamiestis,186510,3000,3,62,2,2,2020,monolithic,central thermostat,partial decoration
Šnipiškės,109260,2381,2,45,1,1,2021,brick,central thermostat,partial decoration
Lazdynėliai,55500,2108,1,26,2,2,2021,brick,central thermostat,partial decoration
Šnipiškės,275129,3535,3,77,5,5,2021,brick,central thermostat,partial decoration
Šnipiškės,223160,3500,3,63,6,6,2021,brick,central thermostat,partial decoration
Šnipiškės,147138,2218,3,66,3,3,2021,brick,central thermostat,partial decoration
Šeškinė,269000,1921,4,140,1,1,2020,brick,aerothermal,partial decoration
Šeškinė,259000,1850,4,140,1,1,2020,brick,aerothermal,partial decoration
Valakampiai,285000,2383,4,119,3,3,2007,brick,gas,partial decoration
Vilkpėdė,77000,2042,1,37,1,1,2009,brick,central,fully equipped
Žvėrynas,98000,2886,2,33,1,1,1940,wooden house,gas,fully equipped
Žvėrynas,98000,2886,1,33,1,1,1940,wooden house,gas,fully equipped
Senamiestis,191268,2700,3,70,1,1,2020,monolithic,central thermostat,partial decoration
Kalnėnai,97000,1372,3,70,1,1,2020,monolithic,central thermostat,partial decoration
Kalnėnai,119000,1382,4,86,1,1,2020,monolithic,central thermostat,partial decoration
Senamiestis,119000,1653,4,72,4,4,1969,brick,central,fully equipped
Naujamiestis,139999,2258,3,62,2,2,2020,brick,central thermostat,fully equipped
Pašilaičiai,105000,1405,3,74,9,9,2010,brick,central thermostat,fully equipped
Antakalnis,134000,2577,2,52,3,3,1967,block house,gas,fully equipped
Pašilaičiai,64013,1389,2,46,6,6,2020,brick,central thermostat,partial decoration
Pašilaičiai,64000,1391,2,46,6,6,2020,brick,central thermostat,partial decoration
Šnipiškės,170000,1071,6,158,1,1,1940,brick,central thermostat,partial decoration
Viršuliškės,69999,1415,2,49,8,8,1977,block house,central,fully equipped
Pašilaičiai,103000,1451,3,71,9,9,2021,brick,central thermostat,fully equipped
Antakalnis,624000,4423,4,141,3,3,2018,monolithic,geothermal,partial decoration
Senamiestis,360000,3529,3,102,5,5,1940,brick,central thermostat,fully equipped
Santariškės,106000,1435,3,73,4,4,2020,brick,central thermostat,fully equipped
Lazdynėliai,108300,1948,3,55,4,4,2021,brick,central thermostat,partial decoration
Antakalnis,83000,2357,1,35,1,1,1985,brick,central,fully equipped
Naujininkai,210500,2469,4,85,7,7,2020,NaN,central thermostat,NaN
Pilaitė,79000,2612,1,30,4,4,2005,brick,central thermostat,fully equipped
Senamiestis,449000,2993,4,150,3,3,1940,brick,gas,fully equipped
Naujininkai,122000,1768,4,69,1,1,1985,brick,electric,fully equipped
Naujamiestis,200000,3185,3,62,2,2,2018,monolithic,central thermostat,fully equipped
Burbiškės,190000,2105,3,90,3,3,2014,brick,gas,fully equipped
Žvėrynas,132840,3000,2,44,2,2,2021,brick,central thermostat,partial decoration
Žvėrynas,149000,3498,2,42,1,1,2019,brick,central thermostat,fully equipped
Senamiestis,66500,2087,2,31,2,2,1892,brick,NaN,NaN
Rasos,31020,632,2,49,1,1,1940,wooden house,NaN,NaN
Užupis,139963,2978,2,47,2,2,2021,brick,geothermal,partial decoration
Pilaitė,83000,1620,2,51,4,4,2020,brick,central thermostat,partial decoration
Burbiškės,117000,1800,3,65,2,2,2019,brick,central thermostat,partial decoration
Naujamiestis,86100,1839,3,46,1,1,1940,brick,NaN,NaN
Naujamiestis,39100,1166,1,33,2,2,1940,brick,NaN,NaN
Užupis,178400,4025,2,44,3,3,2020,brick,geothermal,fully equipped
Senamiestis,28500,1574,1,18,5,5,1940,brick,NaN,NaN
Senamiestis,249900,3162,3,79,1,1,1956,brick,central,fully equipped
Šnipiškės,185000,2403,4,77,9,9,2019,monolithic,central thermostat,partial decoration
Senamiestis,185000,1652,4,112,0,0,1956,brick,electric,fully equipped
Naujoji Vilnia,47000,1154,2,40,4,4,1987,brick,central,fully equipped
Justiniškės,82000,1108,3,74,13,13,1988,monolithic,central,fully equipped
Verkiai,86150,2204,2,39,2,2,2021,brick,central thermostat,partial decoration
Naujamiestis,77000,1667,2,46,5,5,1959,block house,central,fully equipped
Senamiestis,425000,2136,4,199,2,2,2001,brick,gas,fully equipped
Liepkalnis,75000,1473,3,50,2,2,1960,brick,gas,not equipped
Senamiestis,310000,4133,3,75,2,2,2000,brick,gas,fully equipped
Šeškinė,283200,2005,5,141,8,8,2019,NaN,central thermostat,NaN
Šeškinė,181200,2450,4,73,7,7,2019,NaN,central thermostat,NaN
Lazdynai,61000,1297,2,47,5,5,1970,block house,central,fully equipped
Senamiestis,215000,4574,2,47,3,3,2020,brick,NaN,NaN
Pilaitė,120000,1973,3,60,2,2,2020,brick,gas,partial decoration
Senamiestis,119000,2557,2,46,4,4,1940,brick,electric,fully equipped
Šnipiškės,89000,3448,1,25,1,1,2019,brick,central thermostat,fully equipped
Lazdynai,96300,1529,3,63,3,3,1971,block house,central,fully equipped
Užupis,190000,3167,3,60,2,2,2017,brick,central thermostat,fully equipped
Antakalnis,169000,2828,2,59,4,4,2012,brick,central thermostat,fully equipped
Senamiestis,420000,3526,2,119,13,13,2007,monolithic,central thermostat,fully equipped
Šnipiškės,175000,2060,4,84,6,6,2020,brick,central thermostat,partial decoration
Antakalnis,84900,2426,2,35,4,4,1965,brick,central,fully equipped
Naujoji Vilnia,47500,1250,2,38,3,3,1981,block house,electric,fully equipped
Senamiestis,92000,1484,3,62,1,1,1940,brick,electric,not equipped
Užupis,298500,1909,5,156,2,2,1940,brick,central,fully equipped
Pilaitė,107900,1910,3,56,2,2,2019,brick,central thermostat,fully equipped
Pilaitė,107900,1910,3,56,2,2,2019,brick,central thermostat,fully equipped
Pašilaičiai,90600,1649,3,54,2,2,2021,brick,central thermostat,partial decoration
Pašilaičiai,99200,1814,3,54,5,5,2022,brick,central thermostat,partial decoration
Markučiai,234700,2523,3,93,0,0,2019,NaN,central thermostat,NaN
Markučiai,264045,2940,3,89,1,1,2019,NaN,central thermostat,NaN
Markučiai,171087,2100,3,81,1,1,2021,NaN,central thermostat,NaN
Markučiai,96035,2467,2,38,3,3,2021,NaN,central thermostat,NaN
Markučiai,82933,2468,1,33,2,2,2021,NaN,central thermostat,NaN
Salininkai,52900,1430,1,37,3,3,1984,brick,central,fully equipped
Salininkai,53000,1429,2,37,3,3,1984,brick,central,fully equipped
Žvėrynas,49500,2357,1,21,2,2,1979,brick,central,partial decoration
Naujamiestis,309000,4414,3,70,7,7,2009,brick,central thermostat,fully equipped
Naujininkai,209500,2736,4,76,7,7,2020,NaN,central thermostat,NaN
Senamiestis,159000,2895,2,54,2,2,1959,NaN,central thermostat,NaN
Naujamiestis,159000,2891,2,55,2,2,1959,brick,electric,fully equipped
Santariškės,210000,2333,4,90,2,2,2009,brick,central thermostat,fully equipped
Karoliniškės,76900,1202,3,64,1,1,1975,block house,central,fully equipped
Lazdynėliai,115000,1773,3,64,1,1,2019,brick,central thermostat,partial decoration
Lazdynėliai,82000,1872,2,43,2,2,2020,brick,central thermostat,partial decoration
Lazdynėliai,112600,1955,3,57,2,2,2021,brick,central thermostat,partial decoration
Fabijoniškės,85000,1371,3,62,6,6,1988,block house,central,fully equipped
Markučiai,91239,2415,2,37,2,2,2021,NaN,central thermostat,NaN
Naujamiestis,133500,2258,3,59,6,6,2020,NaN,central thermostat,NaN
Senamiestis,265000,3949,2,67,5,5,1953,brick,electric,fully equipped
Žirmūnai,210598,2195,4,95,9,9,2021,block house,central thermostat,partial decoration
Senamiestis,275000,4911,2,56,2,2,2009,brick,central thermostat,fully equipped
Užupis,406200,3831,4,106,2,2,2020,brick,geothermal,fully equipped
Šnipiškės,140000,2333,3,60,1,1,2008,brick,central thermostat,fully equipped
Vilnius,140000,2333,3,60,1,1,2008,brick,central thermostat,fully equipped
