neighborhood,price,price_per_m2,rooms,area_m2,floor,max_floors,year,build_material,heating_type,condition
Pilaitė,87132,1735,2,50,5,5,2020,monolithic,central,partial decoration
Pilaitė,124764,2115,3,58,1,1,2020,monolithic,central thermostat,fully equipped
Šnipiškės,275000,2594,4,106,2,2,1996,brick,electric,fully equipped
Gudeliai,180000,2400,3,75,4,4,2008,brick,central thermostat,fully equipped
Senamiestis,180000,3543,3,50,5,5,1963,brick,central,fully equipped
Verkiai,250000,2721,4,91,3,3,2007,brick,central thermostat,fully equipped
Žirmūnai,250000,2721,4,91,3,3,2007,brick,central thermostat,fully equipped
Karoliniškės,117000,1746,2,67,3,3,2008,brick,central thermostat,fully equipped
Naujamiestis,105000,1934,3,54,4,4,1960,brick,central thermostat,fully equipped
Žvėrynas,138000,3286,2,42,6,6,2020,brick,central thermostat,fully equipped
Antakalnis,210000,2768,3,75,2,2,2017,brick,central thermostat,fully equipped
Naujamiestis,179000,3545,2,50,6,6,1950,brick,gas,fully equipped
Naujamiestis,62000,1055,3,58,2,2,1940,log house,gas,fully equipped
Antakalnis,285000,2159,4,132,3,3,1958,brick,central,fully equipped
Naujamiestis,81000,1969,2,41,2,2,1960,brick,central,fully equipped
Baltupiai,115000,1936,2,59,2,2,1997,brick,central,fully equipped
Naujamiestis,340000,2267,4,150,5,5,1981,brick,gas,partial decoration
Justiniškės,98000,1453,3,67,3,3,1983,block house,central,fully equipped
Lazdynai,54000,1636,1,33,5,5,1971,block house,central,fully equipped
Pašilaičiai,95000,1758,2,54,9,9,2021,brick,central thermostat,fully equipped
Žvėrynas,290000,2900,5,100,3,3,2006,brick,gas,fully equipped
Senamiestis,299000,3987,3,75,3,3,1893,monolithic,central,fully equipped
Pilaitė,118800,2160,3,55,3,3,2018,brick,geothermal,fully equipped
Naujamiestis,153600,3268,2,47,6,6,2018,monolithic,central thermostat,fully equipped
Antakalnis,109000,2224,3,49,4,4,2020,brick,gas,partial decoration
Pašilaičiai,140000,1273,3,110,6,6,1998,brick,gas,partial decoration
Pilaitė,103000,1647,2,62,5,5,2006,brick,central thermostat,fully equipped
Fabijoniškės,89000,1589,2,56,12,12,2008,brick,central thermostat,fully equipped
Naujamiestis,82500,2233,1,36,2,2,1940,brick,gas,fully equipped
Pilaitė,72500,2304,1,31,1,1,2020,NaN,central,NaN
Žirmūnai,145000,2500,3,58,4,4,2009,brick,central thermostat,fully equipped
Santariškės,138000,1675,4,82,1,1,2020,brick,central thermostat,fully equipped
Žirmūnai,190000,4222,2,45,4,4,2015,brick,central,fully equipped
Markučiai,35000,2796,1,12,9,9,1985,brick,central,fully equipped
Naujoji Vilnia,34900,1586,1,22,1,1,2020,brick,aerothermal,fully equipped
Senamiestis,207990,3564,3,58,1,1,2019,brick,central thermostat,fully equipped
Naujamiestis,65000,2273,1,28,1,1,1939,brick,electric,fully equipped
Naujamiestis,75000,1316,3,57,2,2,1962,block house,central,fully equipped
Naujamiestis,160000,3553,2,45,1,1,2015,brick,central thermostat,fully equipped
Justiniškės,87500,1318,3,66,5,5,1984,block house,central,fully equipped
Lazdynai,170000,2267,3,75,4,4,2010,brick,central thermostat,fully equipped
Grigiškės,105000,1702,3,61,5,5,1986,block house,central thermostat,fully equipped
Bajorai,115000,2130,2,54,2,2,2008,brick,central,fully equipped
Lazdynai,76000,1195,3,63,5,5,1971,block house,central,fully equipped
Justiniškės,94999,1418,3,67,3,3,1984,block house,central,fully equipped
Antakalnis,198000,3356,2,59,5,5,2016,brick,central thermostat,fully equipped
Baltupiai,122500,2815,2,43,5,5,2017,brick,central thermostat,fully equipped
Žirmūnai,75000,1705,2,44,2,2,1965,block house,central thermostat,fully equipped
Pašilaičiai,144000,2000,3,72,1,1,2008,brick,central thermostat,fully equipped
Trakų Vokė,83000,1957,2,42,2,2,1957,brick,central,fully equipped
